broker_id,broker_name,broker_created_date,corporation_id,corporation_name,corporation_comments,client_id,client_name,client_address,transaction_id,transaction_date,investment_amount
85,Wall Street Assets Group 85,2007-02-16,317,TechLogix Corp 17,Risk profile: High,834,Investor I34,"270 Financial Way, Tower 5",10137,2025-12-10,15042.19
40,Global Investments Group 40,2006-11-23,378,RetailFlow Corp 78,Risk profile: Low,879,Investor B79,"945 Financial Way, Tower 2",10138,2025-05-26,28119.43
41,Wall Street Assets Group 41,1999-01-03,374,GreenEnergy Corp 74,Risk profile: High,887,Investor J87,"772 Financial Way, Tower 3",10139,2025-08-04,17227.31
83,Prime Brokers Group 83,1994-07-24,361,RetailFlow Corp 61,Risk profile: Low,817,Investor R17,"509 Financial Way, Tower 3",10140,2025-10-05,33609.15
44,Wall Street Assets Group 44,2003-05-31,348,RetailFlow Corp 48,Risk profile: High,853,Investor B53,"962 Financial Way, Tower 2",10141,2025-07-01,40600.67
56,Nordic Capital Group 56,1992-07-12,325,TechLogix Corp 25,Risk profile: Medium,810,Investor K10,"616 Financial Way, Tower 3",10142,2025-10-22,26631.11
50,Apex Securities Group 50,2014-10-01,372,HeavyIndustries Corp 72,Risk profile: Medium,880,Investor C80,"257 Financial Way, Tower 2",10143,2025-03-07,47600.62
68,Nordic Capital Group 68,1991-08-04,321,RetailFlow Corp 21,Risk profile: High,897,Investor T97,"647 Financial Way, Tower 5",10144,2025-07-28,5633.81
44,Wall Street Assets Group 44,2003-05-31,348,RetailFlow Corp 48,Risk profile: High,864,Investor M64,"892 Financial Way, Tower 2",10145,2025-11-23,21878.41
42,Apex Securities Group 42,2022-05-01,394,SoftSystems Corp 94,Risk profile: High,875,Investor X75,"790 Financial Way, Tower 5",10146,2025-12-12,47530.59
3,Prime Brokers Group 3,1997-07-28,330,SoftSystems Corp 30,Risk profile: High,832,Investor G32,"517 Financial Way, Tower 3",10147,2025-02-24,7867.48
87,Wall Street Assets Group 87,2021-11-29,371,GreenEnergy Corp 71,Risk profile: High,833,Investor H33,"949 Financial Way, Tower 4",10148,2025-06-27,8914.26
82,Wall Street Assets Group 82,2001-06-13,323,SoftSystems Corp 23,Risk profile: Medium,895,Investor R95,"963 Financial Way, Tower 3",10149,2025-06-22,5423.78
56,Nordic Capital Group 56,1992-07-12,325,TechLogix Corp 25,Risk profile: Medium,824,Investor Y24,"94 Financial Way, Tower 5",10150,2025-05-25,11587.92
65,Prime Brokers Group 65,2001-12-16,306,TechLogix Corp 6,Risk profile: Medium,828,Investor C28,"610 Financial Way, Tower 3",10151,2025-11-16,47711.35
56,Nordic Capital Group 56,1992-07-12,335,BioGen Corp 35,Risk profile: High,830,Investor E30,"505 Financial Way, Tower 1",10152,2025-10-11,9867.56
56,Nordic Capital Group 56,1992-07-12,325,TechLogix Corp 25,Risk profile: Medium,860,Investor I60,"833 Financial Way, Tower 4",10153,2025-05-15,20928.04
64,Prime Brokers Group 64,2012-01-07,340,BioGen Corp 40,Risk profile: High,816,Investor Q16,"710 Financial Way, Tower 1",10154,2025-06-20,8036.92
24,Nordic Capital Group 24,1999-03-14,369,RetailFlow Corp 69,Risk profile: High,895,Investor R95,"963 Financial Way, Tower 3",10155,2025-05-19,43995.85
64,Prime Brokers Group 64,2012-01-07,333,SoftSystems Corp 33,Risk profile: High,879,Investor B79,"945 Financial Way, Tower 2",10156,2025-01-21,14152.31
33,Wall Street Assets Group 33,2022-06-10,319,TechLogix Corp 19,Risk profile: High,803,Investor D3,"148 Financial Way, Tower 4",10157,2025-11-04,17419.96
56,Nordic Capital Group 56,1992-07-12,335,BioGen Corp 35,Risk profile: High,871,Investor T71,"907 Financial Way, Tower 3",10158,2025-07-17,6741.8
12,Prime Brokers Group 12,1998-04-07,318,GreenEnergy Corp 18,Risk profile: Low,855,Investor D55,"647 Financial Way, Tower 4",10159,2025-09-04,17796.56
17,Wall Street Assets Group 17,1990-07-18,353,TechLogix Corp 53,Risk profile: Low,838,Investor M38,"276 Financial Way, Tower 2",10160,2025-01-26,39891.37
31,Apex Securities Group 31,2010-02-25,312,SoftSystems Corp 12,Risk profile: Medium,816,Investor Q16,"710 Financial Way, Tower 1",10161,2025-07-22,46148.45
40,Global Investments Group 40,2006-11-23,320,SoftSystems Corp 20,Risk profile: Medium,827,Investor B27,"316 Financial Way, Tower 3",10162,2025-07-07,19675.43
41,Wall Street Assets Group 41,1999-01-03,329,HeavyIndustries Corp 29,Risk profile: High,802,Investor C2,"242 Financial Way, Tower 2",10163,2025-10-08,28129.69
77,Global Investments Group 77,1994-04-25,392,HeavyIndustries Corp 92,Risk profile: Low,848,Investor W48,"369 Financial Way, Tower 1",10164,2025-08-17,37479.34
65,Prime Brokers Group 65,2001-12-16,397,GreenEnergy Corp 97,Risk profile: High,865,Investor N65,"277 Financial Way, Tower 2",10165,2025-08-12,21726.08
93,Nordic Capital Group 93,2007-11-07,352,RetailFlow Corp 52,Risk profile: Medium,809,Investor J9,"879 Financial Way, Tower 2",10166,2025-01-03,4046.0
65,Prime Brokers Group 65,2001-12-16,337,TechLogix Corp 37,Risk profile: High,863,Investor L63,"487 Financial Way, Tower 4",10167,2025-11-15,35572.84
64,Prime Brokers Group 64,2012-01-07,333,SoftSystems Corp 33,Risk profile: High,884,Investor G84,"148 Financial Way, Tower 5",10168,2025-05-17,6492.74
56,Nordic Capital Group 56,1992-07-12,325,TechLogix Corp 25,Risk profile: Medium,865,Investor N65,"277 Financial Way, Tower 2",10169,2025-07-26,21107.09
